Order_ID,Customer_ID,Postal_Code,Order_Date,Ship_Date,Ship_Mode
CA-2011-100006,DK-13375,10024,9/7/2011,9/13/2011,Standard Class
CA-2011-100090,EB-13705,94122,7/8/2011,7/12/2011,Standard Class
CA-2011-100293,NF-18475,32216,3/14/2011,3/18/2011,Standard Class
CA-2011-100328,JC-15340,10024,1/29/2011,2/4/2011,Standard Class
CA-2011-100363,JM-15655,85301,4/8/2011,4/15/2011,Standard Class
CA-2011-100391,BW-11065,10035,5/25/2011,5/29/2011,Standard Class
CA-2011-100678,KM-16720,77095,4/18/2011,4/22/2011,Standard Class
CA-2011-100706,LE-16810,22153,12/16/2011,12/18/2011,Second Class
CA-2011-100762,NG-18355,49201,11/24/2011,11/29/2011,Standard Class
CA-2011-100860,CS-12505,91767,3/26/2011,3/30/2011,Second Class
CA-2011-100867,EH-14125,90712,10/19/2011,10/24/2011,Standard Class
CA-2011-100881,DR-12940,87105,3/28/2011,4/1/2011,Standard Class
CA-2011-100895,SV-20785,30076,6/2/2011,6/6/2011,Standard Class
CA-2011-100916,FH-14275,23602,10/21/2011,10/26/2011,Standard Class
CA-2011-100972,DB-13360,84106,11/19/2011,11/24/2011,Second Class
CA-2011-101147,MC-17575,60623,12/2/2011,12/4/2011,First Class
CA-2011-101175,DM-12955,85204,12/9/2011,12/14/2011,Standard Class
CA-2011-101266,MM-17920,22153,8/27/2011,8/30/2011,Second Class
CA-2011-101364,TW-21025,10011,12/22/2011,12/26/2011,Standard Class
CA-2011-101392,AS-10630,98103,12/7/2011,12/13/2011,Standard Class
CA-2011-101427,AY-10555,19140,12/26/2011,12/30/2011,Standard Class
CA-2011-101462,BP-11230,90045,4/20/2011,4/25/2011,Standard Class
CA-2011-101476,SD-20485,10801,9/12/2011,9/13/2011,First Class
CA-2011-101560,CS-12250,29203,11/28/2011,12/1/2011,Second Class
CA-2011-101602,MC-18100,79907,12/15/2011,12/18/2011,First Class
CA-2011-101770,KB-16240,33180,3/31/2011,4/4/2011,Standard Class
CA-2011-101833,FG-14260,10024,11/17/2011,11/22/2011,Second Class
CA-2011-101931,TS-21370,90049,10/28/2011,10/31/2011,First Class
CA-2011-102008,RA-19915,10011,9/30/2011,10/4/2011,Standard Class
CA-2011-102085,JD-16015,98115,10/4/2011,10/9/2011,Standard Class
CA-2011-102274,DH-13075,40475,11/21/2011,11/26/2011,Standard Class
CA-2011-102295,EH-13990,95823,11/24/2011,11/26/2011,Second Class
CA-2011-102330,AI-10855,94513,12/29/2011,1/3/2012,Standard Class
CA-2011-102645,IM-15055,89115,1/24/2011,1/29/2011,Standard Class
